site,keyword,country,branded,clicks,impressions,avg_position,ctr
https://roosters.bet,roosterbet,ita,True,1060,1986,3.3,53.37
https://roosters.bet,rooster bet,deu,True,1044,2849,3.2,36.64
https://roosters.bet,roosterbet,deu,True,957,4214,2.7,22.71
https://roosters.bet,rooster bet,ita,True,943,1990,3.1,47.39
https://rollerocasino.com/,rollero casino,ita,True,836,1496,3.0,55.88
https://lucky7evencasino.com,lucky7even,can,True,739,7063,3.3,10.46
https://roosters.bet,roosterbet,aus,True,675,2419,1.5,27.9
https://roosters.bet,rooster bet login,ita,True,641,845,1.3,75.86
https://roosters.bet,rooster bet casino,aus,True,637,2313,2.4,27.54
https://www.spinsup.io/,spinsup casino,aus,True,629,2708,3.8,23.23
https://fortuneplay.casino/,fortuneplay,aus,True,622,1889,4.7,32.93
https://roosters.bet,rooster bet,aus,True,597,2612,2.0,22.86
https://fortuneplay.casino/,fortune play,ita,True,572,999,3.6,57.26
https://www.spinsup.io/,spinsup,ita,True,555,1661,3.4,33.41
https://fortuneplay.casino/,fortune play casino,aus,True,544,1856,4.9,29.31
https://lucky7evencasino.com,lucky7even,aus,True,519,2615,1.3,19.85
https://www.luckyvibecasino.com,lucky vibe casino,aus,True,511,2719,2.4,18.79
https://www.luckyvibe.io/,luckyvibe,aus,True,491,1962,4.2,25.03
https://rocketspin.io/,rocketspin,aus,True,434,1574,2.9,27.57
https://www.spinsup.io/,spinsup,aus,True,425,2186,3.4,19.44
https://www.luckyvibe.io/,lucky vibe casino,deu,True,415,1974,3.5,21.02
https://www.luckyvibe.io/,lucky vibe,deu,True,370,1602,2.3,23.1
https://rocketspin.io/,rocketspin casino,aus,True,354,1714,3.8,20.65
https://roosters.bet,rooster bet,can,True,352,1146,4.0,30.72
https://www.spinsup.io/,spinup casino,ita,False,342,548,1.9,62.41
https://www.luckyvibecasino.com,lucky vibe casino,can,True,340,751,3.8,45.27
https://roosters.bet,rooster bet,nor,True,329,708,1.8,46.47
https://roosters.bet,rooster.bet,aus,True,322,463,2.6,69.55
https://www.luckyvibe.io/,luckyvibe,deu,True,322,1954,2.7,16.48
