site,keyword,country,branded,clicks,impressions,avg_position,ctr
https://roosters.bet,rooster bet,kwt,True,48,170,5.0,28.24
https://roosters.bet,rooster bet,sau,True,31,131,3.7,23.66
https://www.luckyvibe.io/,luckyvibe,kwt,True,25,47,2.1,53.19
https://rocketspin.io/,rocketspin,kwt,True,25,34,1.8,73.53
https://roosters.bet,roosterbet,kwt,True,21,49,1.9,42.86
https://fortuneplay.casino/,fortune play casino,kwt,True,20,25,4.6,80.0
https://roosters.bet,rooster bet login,sau,True,17,21,1.2,80.95
https://roosters.bet,roosterbet,sau,True,17,53,1.8,32.08
https://roosters.bet,roster bet,kwt,True,13,25,1.8,52.0
https://roostersbet.com,roosterbet,sau,True,13,51,3.3,25.49
https://www.luckyvibecasino.com,luckyvibe bet,kwt,True,12,26,2.5,46.15
https://lucky7evencasino.com,lucky7even,kwt,True,9,23,2.3,39.13
https://www.playmojo.io/,playmojo,kwt,True,9,61,3.9,14.75
https://roostersbet.com,roosterbet,kwt,True,8,46,4.5,17.39
https://fortuneplay.casino/,fortune play,kwt,True,7,26,2.5,26.92
https://www.luckyvibe.io/,luckyvibe bet,kwt,True,7,26,2.0,26.92
https://www.luckyvibe.io/,lucky vibe,kwt,True,7,14,1.1,50.0
https://casinoroosters.com,rooster casino,kwt,True,7,37,3.7,18.92
https://roosters.bet,rooster casino,kwt,True,6,37,2.9,16.22
https://www.playmojo.io/,playmogo,sau,True,6,38,2.2,15.79
https://www.spinjocasino.com,spinjo,kwt,True,6,58,2.7,10.34
https://casinoroosters.com,rooster bet,kwt,True,5,65,8.6,7.69
https://roostersbet.com,rooster bet,sau,True,5,145,8.4,3.45
https://www.luckyvibecasino.com,luckyvibe casino,kwt,True,5,8,1.6,62.5
https://roosters.bet,rooster.bet,kwt,True,5,21,2.1,23.81
https://fortuneplay.casino/,fortuneplay,kwt,True,4,21,2.6,19.05
https://www.luckyvibecasino.com,lucky vibe,kwt,True,4,14,2.8,28.57
https://roostersbet.com,rooster casino,kwt,True,4,36,6.2,11.11
https://www.spinjo.io,spinjo,kwt,True,4,61,2.9,6.56
https://www.luckyvibecasino.com,luckyvibe casino,sau,True,3,5,1.2,60.0
https://casinoroosters.com,rooster bet login,sau,True,3,17,3.3,17.65
https://rollero.io/,rollero,kwt,True,3,18,2.6,16.67
https://roostersbet.com,rooster bet,kwt,True,3,183,10.7,1.64
https://roosters.bet,rooster.bet,sau,True,3,54,2.4,5.56
https://rocketspin.io/,rocketspin casino,kwt,True,3,23,1.9,13.04
https://www.spinjocasino.com,spinjo casino,kwt,True,3,7,2.0,42.86
https://lucky7evencasino.com,lucky7even,sau,True,3,38,3.1,7.89
https://fortuneplay.io,fortune play casino,kwt,True,3,23,6.2,13.04
https://www.playmojocasino.com/,playmojo,kwt,True,3,62,4.2,4.84
https://spinsupcasino.com/,spinsup casino,kwt,True,2,21,2.1,9.52
https://www.luckyvibecasino.com,luckyvibe,kwt,True,2,36,3.9,5.56
https://www.luckyvibe.io/,luckyvibe casino,kwt,True,2,9,2.8,22.22
https://roostersbet.com,rooster bet login,sau,True,2,21,2.4,9.52
https://roostersbet.com,rooster bet casino,sau,True,2,110,12.0,1.82
https://lucky7evencasino.com,lucky7even casino,kwt,True,2,6,1.8,33.33
https://fortuneplay.casino/,fortuneplay,sau,True,2,147,3.2,1.36
https://www.spinsup.io/,spinsup casino,kwt,True,2,19,2.6,10.53
https://fortuneplay.casino/,fortuneplay casino,sau,True,1,18,21.9,5.56
https://casinoroosters.com,rooster bet,sau,True,1,58,5.9,1.72
https://casinoroosters.com,rooster.bet,kwt,True,1,7,4.9,14.29
https://rocketspin.io/,rocketspin,sau,True,1,5,10.4,20.0
https://fortuneplay.io,fortuneplay casino,sau,True,1,19,23.7,5.26
https://rollerocasino.com/,rollero,sau,True,1,7,26.3,14.29
https://www.spinsup.io/,spinsup,sau,True,1,22,9.9,4.55
https://www.casinospinjo.com,spinjo casino,kwt,True,1,6,3.8,16.67
https://fortuneplay.io,fortune play,sau,True,1,8,14.9,12.5
https://fortuneplay.casino/,fortunplay,kwt,True,1,6,2.8,16.67
https://casinoroosters.com,roster bet,kwt,True,1,9,4.3,11.11
https://roostersbet.com,rooster casino,sau,True,1,17,11.6,5.88
https://roosters.bet,rosterbet,kwt,True,1,9,2.3,11.11
https://roostersbet.com,rosterbet,kwt,True,1,10,3.7,10.0
https://rollerocasino.com/,rollero casino,kwt,True,1,5,1.6,20.0
https://roostersbet.com,rooster.bet,sau,True,1,46,4.1,2.17
https://www.playmojo.io/,play mojo,sau,True,1,6,20.0,16.67
https://www.playmojo.io/,playmogo,kwt,True,1,5,2.0,20.0
https://lucky7evencasino.com,lucky7even casino,sau,True,1,21,4.5,4.76
https://casinoroosters.com,rooster bet casino,kwt,True,0,52,13.3,0.0
https://casinoroosters.com,rooster casino,sau,True,0,17,5.0,0.0
https://casinoroosters.com,rooster.bet,sau,True,0,6,6.0,0.0
https://casinoroosters.com,rooster bet casino,sau,True,0,53,13.2,0.0
https://casinoroosters.com,roosterbet,kwt,True,0,22,6.2,0.0
https://casinospinsup.com/,كازينو spinsup,kwt,True,0,51,7.0,0.0
https://fortuneplay.casino/,fortune casino login,sau,True,0,7,27.0,0.0
https://fortuneplay.casino/,fortune play,sau,True,0,11,10.1,0.0
https://fortuneplay.io,fortune play,kwt,True,0,13,7.4,0.0
https://fortuneplay.casino/,fortune play casino,sau,True,0,24,19.0,0.0
https://fortuneplay.casino/,fortune play casino no deposit bonus,sau,True,0,14,26.2,0.0
https://casinoroosters.com,roosterbet,sau,True,0,22,6.0,0.0
https://casinospinsup.com/,كازينو spinsup,sau,True,0,106,7.2,0.0
https://rollero.io/,rollero casino,sau,True,0,9,22.3,0.0
https://rollero.io/,rollero,sau,True,0,10,10.6,0.0
https://rollerocasino.com/,rollero,kwt,True,0,5,6.6,0.0
https://rocketspin.io/,rocket spin casino,sau,True,0,16,18.5,0.0
https://rocketspin.io/,rocketspin casino,sau,True,0,8,3.9,0.0
https://fortuneplay.io,fortuneplay,sau,True,0,120,7.0,0.0
https://rollero.io/,rollero casino,kwt,True,0,6,4.0,0.0
https://rocketspincasino.com/,rocketspin casino,sau,True,0,8,6.8,0.0
https://rocketspincasino.com/,rocket spin casino,sau,True,0,17,9.0,0.0
https://rocketspincasino.com/,rocketspin,kwt,True,0,15,5.6,0.0
https://rocketspincasino.com/,rocketspin casino,kwt,True,0,20,3.0,0.0
https://spinsupcasino.com/,spin up casino,sau,True,0,5,6.6,0.0
https://roostersbet.com,روستر بت,sau,True,0,5,3.6,0.0
